timestamp,status,iou,h_det,h_gt,l_det,l_gt,score,type_det,type_gt,w_det,w_gt,x_det,x_gt,y_det,y_gt,z_det,z_gt
22460.316,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.316,fp,0.0,1.4244365692138672,,3.320920467376709,,1.0,Car,,1.5514901876449585,,8.941401864228391,,-1.9456828913317892,,-0.8243412753838868,
22460.366,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.366,fp,0.0,1.3984382152557373,,3.107753038406372,,1.0,Car,,1.524057388305664,,9.052003215896198,,-1.9845901428765869,,-0.8346774184835333,
22460.416,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.416,fp,0.0,1.4104622602462769,,3.164220333099365,,1.0,Car,,1.5422577857971191,,8.883275558371508,,-1.939896085922442,,-0.8138643690142384,
22460.466,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.466,fp,0.0,1.3938941955566406,,3.076828718185425,,1.0,Car,,1.5338075160980225,,8.68947141115626,,-1.8905661714911035,,-0.7935048219984733,
22460.516,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.516,fp,0.0,1.408578634262085,,3.161952495574951,,1.0,Car,,1.5351451635360718,,8.660740429350195,,-1.8865841775464984,,-0.7798206192043491,
22460.566,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.566,fp,0.0,1.4178605079650881,,3.231661319732666,,1.0,Car,,1.53913152217865,,9.270948385839489,,-2.0230672346604983,,-0.8499437783025954,
22460.616,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.616,fp,0.0,1.422017216682434,,3.3086049556732178,,1.0,Car,,1.5447101593017578,,8.931998233798712,,-1.9442190061783196,,-0.8233035442998009,
22460.666,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.666,fp,0.0,1.413224458694458,,3.267586231231689,,1.0,Car,,1.5417906045913696,,8.780057954847521,,-1.9096663410617951,,-0.8076487853042984,
22460.716,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.716,fp,0.0,1.4021612405776978,,3.1585271358489986,,1.0,Car,,1.5362195968627932,,8.971149270095731,,-1.961774068470006,,-0.8215001424944609,
22460.766,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.766,fp,0.0,1.4258114099502563,,3.255200862884521,,1.0,Car,,1.5510921478271484,,8.99780862779869,,-1.9626794443247817,,-0.8266512101714927,
22460.816,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.816,fp,0.0,1.4120516777038574,,3.2199666500091557,,1.0,Car,,1.5409198999404907,,8.850270697963387,,-1.9290883512450232,,-0.8131799411274354,
22460.866,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.866,fp,0.0,1.394375920295715,,3.112858295440674,,1.0,Car,,1.5183428525924685,,8.385028999233839,,-1.82296176928076,,-0.7905034155217603,
22460.916,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.916,fp,0.0,1.417982816696167,,3.210898399353028,,1.0,Car,,1.5367690324783323,,8.803136612616484,,-1.9109032251632248,,-0.8079498920102424,
22460.966,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22460.966,fp,0.0,1.434803128242493,,3.3060882091522217,,1.0,Car,,1.5542184114456177,,9.24290533800849,,-2.01180571706455,,-0.849680415669761,
22461.016,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.016,fp,0.0,1.423186421394348,,3.281031608581543,,1.0,Car,,1.5409408807754517,,8.9454509609713,,-1.9415544668711442,,-0.8238472006601345,
22461.066,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.066,fp,0.0,1.3912866115570068,,3.1085004806518555,,1.0,Car,,1.5238041877746582,,8.769333623993889,,-1.9157577976323539,,-0.802824092989372,
22461.116,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.116,fp,0.0,1.4219927787780762,,3.2150146961212163,,1.0,Car,,1.5391557216644287,,8.68975249097568,,-1.8907095881537224,,-0.7837608791515578,
22461.166,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.166,fp,0.0,1.4218858480453491,,3.264859676361084,,1.0,Car,,1.5542643070220947,,9.193560459866386,,-2.009673520285555,,-0.8437473847019685,
22461.216,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.216,fp,0.0,1.4013391733169556,,3.0918793678283687,,1.0,Car,,1.5114604234695437,,8.30673711442478,,-1.8054339004333533,,-0.7697230167405174,
22461.266,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.266,fp,0.0,1.4038443565368652,,3.1792001724243164,,1.0,Car,,1.5332262516021729,,8.978543798353133,,-1.962573821072136,,-0.8229806866576509,
22461.316,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.316,fp,0.0,1.4249118566513062,,3.34145188331604,,1.0,Car,,1.555551528930664,,8.997132205793882,,-1.9580458579332392,,-0.8297698163905167,
22461.366,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.366,fp,0.0,1.4207273721694946,,3.282521724700928,,1.0,Car,,1.5559698343276978,,8.906397661965736,,-1.9316843150305552,,-0.8201541962473105,
22461.416,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.416,fp,0.0,1.4056037664413452,,3.1145663261413574,,1.0,Car,,1.5235490798950195,,8.839065871212124,,-1.9249676023813507,,-0.8091764069327496,
22461.466,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.466,fp,0.0,1.4194958209991455,,3.2352042198181152,,1.0,Car,,1.5415991544723509,,8.981607515519766,,-1.960073834893072,,-0.8248810061966534,
22461.516,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.516,fp,0.0,1.4185332059860232,,3.2654471397399902,,1.0,Car,,1.5452052354812622,,8.807511327641286,,-1.9162845467316183,,-0.8097316933560172,
22461.566,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.566,fp,0.0,1.4038389921188354,,3.123573541641236,,1.0,Car,,1.5253114700317385,,9.1194225175608,,-2.1048370596382413,,-0.8279369932492902,
22461.616,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.616,fp,0.0,1.4248368740081787,,3.27752947807312,,1.0,Car,,1.5487960577011108,,8.923642588964867,,-1.9436331120857635,,-0.8212332373297624,
22461.666,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.666,fp,0.0,1.4291086196899414,,3.350430727005005,,1.0,Car,,1.5527467727661133,,8.894138581173896,,-1.9326659841310876,,-0.8213144462889961,
22461.716,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.716,fp,0.0,1.4140487909317017,,3.244025468826294,,1.0,Car,,1.5468368530273438,,8.839891443400845,,-1.9178660555314275,,-0.813358290986077,
22461.766,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.766,fp,0.0,1.4124399423599243,,3.172714710235596,,1.0,Car,,1.5437363386154177,,8.921922304881072,,-1.941451241777488,,-0.8177892015434267,
22461.816,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.816,fp,0.0,1.4252322912216189,,3.207848072052002,,1.0,Car,,1.5434046983718872,,9.1075530369163,,-1.9844728511614098,,-0.8348410047651758,
22461.866,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.866,fp,0.0,1.4166300296783447,,3.189826011657715,,1.0,Car,,1.541449785232544,,8.669173467606246,,-1.8797942036119688,,-0.7815098499226636,
22461.916,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.916,fp,0.0,1.3985285758972168,,3.060821533203125,,1.0,Car,,1.5151213407516482,,9.059934954516503,,-2.0907390252330593,,-0.8209547006889101,
22461.966,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22461.966,fp,0.0,1.4131711721420288,,3.2004435062408447,,1.0,Car,,1.5417437553405762,,9.029589957511497,,-1.9735594344609515,,-0.8277645551624389,
22462.016,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.016,fp,0.0,1.4312269687652588,,3.347108125686645,,1.0,Car,,1.547120213508606,,8.740347577630233,,-1.896049814303428,,-0.7921591589964443,
22462.066,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.066,fp,0.0,1.4178214073181152,,3.251717567443848,,1.0,Car,,1.5430556535720823,,8.798693781237937,,-1.9148999167000904,,-0.808527550908499,
22462.116,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.116,fp,0.0,1.3914374113082886,,3.1142797470092773,,1.0,Car,,1.526469588279724,,8.942192285031135,,-1.9573784406705423,,-0.8177957300683687,
22462.166,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.166,fp,0.0,1.4221588373184204,,3.219637632369995,,1.0,Car,,1.552269458770752,,8.962524648654217,,-1.9485481131101732,,-0.8226518114238832,
22462.216,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.216,fp,0.0,1.4125384092330933,,3.2205166816711426,,1.0,Car,,1.5478482246398926,,8.616258065817041,,-1.8653377306000931,,-0.7778844472867892,
22462.266,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.266,fp,0.0,1.4073277711868286,,3.2301948070526123,,1.0,Car,,1.5261776447296145,,9.107681216023607,,-1.9951417295001983,,-0.834611303598356,
22462.316,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.316,fp,0.0,1.409759759902954,,3.208930253982544,,1.0,Car,,1.525909662246704,,8.984887277051081,,-1.9627154321055675,,-0.8247730771994135,
22462.366,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.366,fp,0.0,1.4276821613311768,,3.3429431915283203,,1.0,Car,,1.5579630136489868,,8.943079849923043,,-1.9447846714148187,,-0.8250849882465072,
22462.416,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.416,fp,0.0,1.4161719083786009,,3.2425084114074707,,1.0,Car,,1.5383609533309937,,8.471512965843202,,-1.8367249208766676,,-0.8025347361210429,
22462.466,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.466,fp,0.0,1.3870056867599487,,3.062012195587158,,1.0,Car,,1.5276585817337036,,8.778829951349733,,-1.9202242319053549,,-0.8076375455455302,
22462.516,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.516,fp,0.0,1.4194190502166748,,3.1860146522521973,,1.0,Car,,1.5502101182937622,,8.91450130369916,,-1.9387256140311733,,-0.8173543815108602,
22462.566,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.566,fp,0.0,1.4064618349075315,,3.1718497276306152,,1.0,Car,,1.5473793745040894,,9.021215775301599,,-1.9655275780322599,,-0.8262591049320741,
22462.616,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.616,fp,0.0,1.40628981590271,,3.0680239200592037,,1.0,Car,,1.5165560245513916,,8.313387245499664,,-1.8011648706231072,,-0.7679459276281548,
22462.666,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.666,fp,0.0,1.4092131853103638,,3.2021987438201904,,1.0,Car,,1.5314441919326782,,8.948928557978855,,-1.9541949299865389,,-0.8212854325694678,
22462.716,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.716,fp,0.0,1.4244515895843506,,3.31680965423584,,1.0,Car,,1.5427719354629517,,8.65373773805678,,-1.87677891903592,,-0.7839695171288543,
22462.766,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.766,fp,0.0,1.4206262826919556,,3.2361373901367188,,1.0,Car,,1.5430570840835571,,8.882220364984068,,-1.9358709394414133,,-0.8163373327861958,
22462.816,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
